network,station,latitude,longitude,depth
CE,00022,32.73900,-114.63570,-0.04
CE,01711,32.77970,-115.56740,0.007
CE,01711,32.77970,-115.56750,0.007
CE,01794,32.77380,-115.44860,0.004
CE,02140,32.81350,-116.97540,-0.119
CE,02143,32.83990,-116.97410,-0.108
CE,02143,32.84000,-116.97400,-0.108
CE,02143,32.83990,-116.97410,-0.108
CE,02467,32.83790,-116.77490,-0.527
CE,02496,32.65110,-116.36560,-1.009
CE,02496,32.65110,-116.36560,-1.009
CE,02498,32.61950,-116.19210,-0.86
CE,02501,32.99210,-116.58580,-1.43
CE,03121,32.74900,-117.24100,-0.011
CE,03121,32.74880,-117.24180,-0.011
CE,03121,32.74880,-117.24180,-0.011
CE,03139,32.77360,-117.00130,-0.179
CE,03139,32.77400,-117.00100,-0.179
CE,03145,32.70960,-117.15790,-0.011
CE,03145,32.71000,-117.15800,-0.011
CE,03145,32.70960,-117.15790,-0.011
CE,03146,32.72990,-117.16900,-0.018
CE,03146,32.72960,-117.16930,-0.018
CE,03147,32.70160,-117.11990,-0.014
CE,03148,32.73540,-117.08000,-0.079
CE,03148,32.73500,-117.08000,-0.079
CE,03148,32.73540,-117.08000,-0.079
CE,03150,32.79490,-117.25530,-0.005
CE,03150,32.79500,-117.25500,-0.005
CE,03151,32.82200,-117.17500,-0.118
CE,03151,32.82210,-117.17460,-0.118
CE,03152,32.70970,-117.00680,-0.079
CE,03154,32.75350,-117.09680,-0.104
CE,03155,32.69200,-117.03700,-0.143
CE,03155,32.69200,-117.03720,-0.143
CE,03156,32.91540,-117.14230,-0.131
CE,03156,32.91500,-117.14200,-0.131
CE,03156,32.91540,-117.14230,-0.131
CE,03234,32.87700,-117.22600,-0.103
CE,03234,32.87730,-117.22710,-0.103
CE,03260,32.95450,-117.04160,-0.149
CE,03260,32.95450,-117.04160,-0.149
CE,03468,32.57620,-117.08490,-0.006
CE,03471,32.66910,-117.07670,-0.023
CE,03521,32.87930,-117.22390,-0.105
NP,1002,37.52886,-122.25522,-0.002
CE,10021,33.60990,-114.71510,-0.119
NP,1003,37.49403,-122.29770,-0.268
NP,1023,40.57616,-124.26367,-0.016
NP,1023,40.57616,-124.26367,-0.017
NP,1041,34.99770,-119.48580,-0.837
NP,1041,34.99771,-119.48584,-0.837
NP,1083,35.28427,-120.66101,-0.08
TA,109C,32.88890,-117.10510,-0.15
TA,109C,32.88890,-117.10510,-0.15
CE,11023,33.23890,-115.51280,0.042
CE,11217,33.51080,-115.91980,0.062
CE,11369,33.03690,-115.62340,0.049
CE,11369,33.03700,-115.62350,0.049
CE,11625,33.56410,-115.98760,-0.009
CE,11684,33.39800,-115.65700,-0.003
CE,12025,33.82940,-116.51250,-0.131
CE,12025,33.82930,-116.51240,-0.131
CE,12076,33.67810,-116.17830,0.019
CE,12076,33.67810,-116.17840,0.019
CE,12092,33.48180,-116.91140,-0.501
CE,12092,33.48180,-116.91140,-0.501
CE,12102,33.78690,-116.95920,-0.475
CE,12108,33.81490,-116.46120,-0.109
CE,12116,33.74710,-116.71520,-1.635
CE,12149,33.96170,-116.51040,-0.326
CE,12149,33.96170,-116.51050,-0.326
CE,12149,33.96200,-116.50900,-0.326
CE,12168,33.32420,-116.68410,-0.908
CE,12188,33.60510,-116.93790,-0.772
CE,12188,33.60490,-116.93800,-0.772
CE,12202,33.76020,-116.96140,-0.487
CE,12206,33.85130,-116.85300,-1.098
NP,1225,37.78268,-122.50482,-0.106
CE,12330,33.35360,-116.86260,-1.686
CE,12331,33.72890,-116.97970,-0.48
CE,12478,33.07730,-116.43820,-0.537
CE,12492,33.26170,-116.37220,-0.179
CE,12500,33.07340,-116.76850,-0.777
CE,12502,33.69570,-116.38700,-0.166
CE,12518,33.91110,-116.50110,-0.231
CE,12549,33.96440,-116.56360,-0.4
CE,12626,33.42620,-116.07880,0.009
CE,12673,33.78730,-116.95920,-0.475
CE,12673,33.78700,-116.95800,-0.475
CE,12808,33.46910,-116.10310,0.044
CE,12904,33.70570,-116.23660,-0.001
CE,12919,33.92990,-116.97260,-0.796
CE,12923,33.74480,-116.93220,-0.517
CE,12951,33.67120,-116.30130,-0.016
CE,12952,33.75770,-116.37420,-0.078
CE,12953,33.78670,-116.41010,-0.093
CE,12966,33.72330,-116.33830,-0.046
CE,13066,33.84010,-117.95680,-0.04
CE,13067,33.78610,-117.80940,-0.089
CE,13068,33.86330,-117.74210,-0.162
CE,13069,33.76760,-117.84970,-0.058
CE,13070,33.48510,-117.66890,-0.018
CE,13070,33.48510,-117.66890,-0.018
CE,13079,33.91740,-117.44300,-0.244
CE,13080,33.96770,-117.25190,-0.535
CE,13080,33.96900,-117.25200,-0.535
CE,13081,33.56600,-117.26500,-0.423
CE,13081,33.56520,-117.26430,-0.423
CE,13093,33.75120,-117.01480,-0.461
CE,13094,33.57680,-117.13070,-0.41
CE,13095,33.81780,-117.13270,-0.445
CE,13095,33.81800,-117.31200,-0.445
CE,13096,33.69890,-117.26640,-0.426
CE,13097,33.60430,-117.27870,-0.387
CE,13098,33.88420,-117.51410,-0.204
CE,13099,33.87600,-117.59260,-0.219
CE,13099,33.87600,-117.59300,-0.219
CE,13100,33.87560,-117.63550,-0.198
CE,13100,33.87500,-117.63600,-0.198
CE,13122,33.86880,-117.70940,-0.116
CE,13122,33.86880,-117.70940,-0.116
CE,13123,33.95060,-117.44530,-0.233
CE,13123,33.95060,-117.44520,-0.233
CE,13141,33.05360,-117.24540,-0.077
CE,13141,33.05360,-117.24540,-0.077
CE,13141,33.05400,-117.24500,-0.077
CE,13142,33.14410,-117.16460,-0.175
CE,13142,33.14400,-117.16500,-0.175
CE,13160,33.63400,-117.90200,-0.022
CE,13160,33.63360,-117.90310,-0.022
CE,13162,33.99010,-117.71780,-0.199
CE,13172,33.49600,-117.14900,-0.31
CE,13172,33.49710,-117.15070,-0.31
CE,13174,33.98930,-117.88970,-0.141
CE,13174,33.98900,-117.89000,-0.141
CE,13197,33.66230,-117.99740,-0.011
CE,13215,33.66260,-117.90230,-0.022
CE,13220,33.67810,-117.75270,-0.068
CE,13333,33.20150,-117.33150,-0.029
CE,13333,33.20100,-117.33100,-0.029
CE,13477,33.12310,-117.12190,-0.226
CE,13577,33.92800,-117.80320,-0.227
CE,13610,33.62300,-117.93100,-0.004
CE,13690,33.62780,-117.69060,-0.14
CE,13726,33.85560,-117.54040,-0.24
CE,13849,33.85340,-117.81800,-0.078
CE,13873,33.93310,-117.89630,-0.116
CE,13875,33.77740,-117.83350,-0.066
CE,13876,33.60400,-117.90500,-0.002
CE,13876,33.60430,-117.90590,-0.002
CE,13877,33.60540,-117.88960,-0.001
CE,13878,33.88910,-117.88700,-0.079
CE,13879,33.86630,-117.95910,-0.034
CE,13880,33.90860,-117.93110,-0.098
CE,13881,33.93150,-117.95570,-0.086
CE,13882,33.92740,-117.80340,-0.226
CE,13883,33.85300,-117.85700,-0.067
CE,13883,33.85340,-117.85780,-0.067
CE,13883,33.85340,-117.85780,-0.067
CE,13884,33.76670,-117.91780,-0.028
CE,13884,33.76670,-117.91780,-0.028
CE,13885,33.75710,-117.95580,-0.019
CE,13886,33.79110,-117.96800,-0.025
CE,13887,33.67650,-117.96290,-0.003
CE,13888,33.81950,-117.84950,-0.061
CE,13889,33.74780,-117.84390,-0.041
CE,13890,33.74200,-117.89380,-0.023
CE,13891,33.71570,-117.90370,-0.013
CE,13892,33.69970,-117.88010,-0.01
CE,13893,33.78460,-117.89020,-0.039
CE,13894,33.78900,-117.92150,-0.037
CE,13913,33.91880,-117.48770,-0.217
CE,13914,33.95100,-117.38830,-0.256
CE,13915,33.97920,-117.34390,-0.298
CE,13916,33.89450,-117.32190,-0.538
CE,13918,33.90350,-117.56130,-0.191
CE,13921,33.97530,-117.48650,-0.213
CE,13921,33.97530,-117.48650,-0.213
CE,13922,33.66890,-117.33200,-0.389
CE,13922,33.66910,-117.33230,-0.389
CE,13924,33.74750,-117.12740,-0.485
CE,13925,33.90190,-117.23550,-0.468
CE,13925,33.90200,-117.23400,-0.468
CE,13927,33.92120,-117.17310,-0.493
CE,13928,33.78670,-117.23050,-0.447
CE,13928,33.78670,-117.23040,-0.447
CE,13929,33.64910,-117.20530,-0.48
CE,13930,33.71550,-117.19150,-0.435
CE,13930,33.71600,-117.19000,-0.435
CE,14001,33.80200,-118.21500,-0.005
CE,14001,33.80220,-118.21480,-0.005
CE,14002,33.78470,-118.17340,-0.008
CE,14003,33.72950,-118.29050,-0.025
CE,14004,33.74720,-118.26030,-0.001
CE,14005,33.75880,-118.13090,-0.003
CE,14006,33.72690,-118.00080,-0.006
CE,14007,33.72300,-118.02570,-0.003
CE,14007,33.72300,-118.02570,-0.003
CE,14017,33.98960,-118.31210,-0.041
CE,14026,33.88920,-118.04690,-0.018
CE,14027,33.92830,-118.05760,-0.046
CE,14028,33.96220,-118.06550,-0.048
CE,14028,33.96220,-118.06540,-0.048
CE,14035,33.99270,-118.39630,-0.002
CE,14036,33.86880,-118.36830,-0.023
CE,14037,33.79670,-118.33800,-0.036
CE,14038,33.81320,-118.37020,-0.027
CE,14041,33.99100,-118.12120,-0.055
CE,14043,33.93850,-118.32690,-0.031
CE,14044,33.97630,-118.35340,-0.053
CE,14050,33.83370,-118.35590,-0.022
CE,14058,33.89800,-118.20880,-0.021
CE,14059,33.87580,-118.23970,-0.032
CE,14060,33.99900,-118.17820,-0.046
CE,14125,33.81790,-118.15810,-0.016
CE,14159,33.72200,-118.31030,-0.122
CE,14175,33.93070,-118.21430,-0.023
CE,14175,33.93100,-118.21400,-0.023
CE,14176,33.94800,-118.18370,-0.025
CE,14221,33.88830,-118.40980,-0.033
CE,14241,33.77720,-118.13340,-0.005
CE,14242,33.84000,-118.19520,-0.015
CE,14368,33.92390,-118.16790,-0.023
CE,14400,33.83700,-118.07240,-0.016
CE,14403,33.92900,-118.26000,-0.026
CE,14403,33.92900,-118.26110,-0.026
CE,14404,33.74550,-118.39690,-0.122
CE,14405,33.78720,-118.35690,-0.134
CE,14532,33.73800,-118.30630,-0.082
CE,14537,33.95170,-118.33620,-0.04
CE,14560,33.76860,-118.19650,-0.008
CE,14767,33.96280,-118.38040,-0.027
CE,14787,33.92440,-118.23940,-0.027
NP,1479,36.53127,-121.14439,-0.384
CE,14820,33.99340,-118.34250,-0.085
CE,14821,33.96860,-118.29120,-0.044
CE,14822,33.94500,-118.38000,-0.029
CE,14822,33.94500,-118.38110,-0.029
CE,14823,33.94400,-118.24600,-0.033
CE,14824,33.86770,-118.29030,-0.007
CE,14825,33.97620,-118.20860,-0.045
CE,14826,33.99640,-118.25440,-0.055
CE,14827,33.92000,-118.12730,-0.029
CE,14828,33.93900,-118.09890,-0.037
CE,14829,33.88300,-118.11700,-0.021
CE,14829,33.88290,-118.11790,-0.021
CE,14830,33.84650,-118.10690,-0.014
CE,14831,33.79180,-118.32030,-0.032
CE,14831,33.79180,-118.32030,-0.032
CE,14831,33.79200,-118.31900,-0.032
CE,14834,33.92190,-118.32680,-0.017
CE,14834,33.92190,-118.32680,-0.017
CE,14835,33.78090,-118.26180,-0.007
CE,14840,33.94630,-118.00110,-0.077
CE,14844,33.96890,-118.14920,-0.037
CE,14845,33.78990,-118.29690,-0.014
CE,14846,33.81080,-118.27690,-0.012
CE,14847,33.82680,-118.21670,-0.008
CE,14868,33.80600,-118.16420,-0.034
CE,14869,33.81820,-118.10820,-0.004
CE,14870,33.79830,-118.13670,-0.006
CE,14871,33.76310,-118.16820,-0.002
CE,14872,33.87300,-118.17550,-0.016
CE,14901,33.56200,-118.11700,0
CE,14934,33.93860,-118.30050,-0.066
CE,14935,33.86750,-118.26180,-0.023
CE,14935,33.86750,-118.26180,-0.023
CE,14936,33.83370,-118.16080,-0.022
CE,14937,33.90510,-118.01130,-0.049
CE,14985,33.99140,-118.45940,-0.003
CE,14988,33.90900,-118.31480,-0.014
NP,1571,37.34130,-121.85140,0.015
NP,1571,37.34130,-121.85140,0.007
NP,1571,37.34130,-121.85140,0.061
NP,1571,37.33927,-121.85201,-0.031
NP,1575,36.85112,-121.40334,-0.089
NP,1576,37.56957,-118.75278,-2.138
NP,1576,37.56957,-118.75278,-2.139
NP,1580,40.87417,-124.07618,-0.036
NP,1581,40.73501,-124.20763,-0.004
NP,1581,40.73501,-124.20763,-0.008
NP,1584,40.49756,-124.29475,-0.754
NP,1584,40.49761,-124.29448,-0.748
NP,1584,40.49761,-124.29448,-0.753
NP,1586,40.64420,-124.22071,-0.036
NP,1586,40.64420,-124.22071,-0.038
NP,1587,37.58359,-118.23691,-3.791
NP,1589,37.36061,-118.32858,-1.236
